,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
255,ALL ABOUT STAKING YOUR TOKENS TONIGHT ON CRYPTO CHAT -&gt; https://t.co/28Th5aAfbS &lt;-  #workfromhome #VTHOR #NEM #HBAR,all about staking your tokens tonight on crypto chat   gt     lt     workfromhome  vthor  nem  hbar,0.0,0.0,positive,0.0,0.87,0.13,0.2732,99,15,all about staking your tokens tonight on crypto chat   gt     lt     workfromhome  vthor  nem  hbar,"['all', 'about', 'staking', 'your', 'tokens', 'tonight', 'on', 'crypto', 'chat', 'gt', 'lt', 'workfromhome', 'vthor', 'nem', 'hbar']","['staking', 'tokens', 'tonight', 'crypto', 'chat', 'gt', 'lt', 'workfromhome', 'vthor', 'nem', 'hbar']","['stake', 'token', 'tonight', 'crypto', 'chat', 'gt', 'lt', 'workfromhom', 'vthor', 'nem', 'hbar']"
256,"MAKE MONEY WHILE YOU SLEEP!
CLICK On Image!
#AffiliateMarketing #entrepreneur #WorkFromHome #onlinebusiness… https://t.co/XJsf7k3aJY",make money while you sleep  click on image   affiliatemarketing  entrepreneur  workfromhome  onlinebusiness   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,110,12,make money while you sleep  click on image   affiliatemarketing  entrepreneur  workfromhome  onlinebusiness   ,"['make', 'money', 'while', 'you', 'sleep', 'click', 'on', 'image', 'affiliatemarketing', 'entrepreneur', 'workfromhome', 'onlinebusiness', '']","['make', 'money', 'sleep', 'click', 'image', 'affiliatemarketing', 'entrepreneur', 'workfromhome', 'onlinebusiness', '']","['make', 'money', 'sleep', 'click', 'imag', 'affiliatemarket', 'entrepreneur', 'workfromhom', 'onlinebusi', '']"
257,"12 new fully #remoteimpactjobs (global, regional, multiple locations)
Weekly digests https://t.co/E5PVqrd6KL
Daily… https://t.co/YGOMPqizUw",12 new fully  remoteimpactjobs  global  regional  multiple locations  weekly digests   daily   ,0.03409090909090909,0.11363636363636363,neutral,0.0,1.0,0.0,0.0,95,11, new fully  remoteimpactjobs  global  regional  multiple locations  weekly digests   daily   ,"['', 'new', 'fully', 'remoteimpactjobs', 'global', 'regional', 'multiple', 'locations', 'weekly', 'digests', 'daily', '']","['', 'new', 'fully', 'remoteimpactjobs', 'global', 'regional', 'multiple', 'locations', 'weekly', 'digests', 'daily', '']","['', 'new', 'fulli', 'remoteimpactjob', 'global', 'region', 'multipl', 'locat', 'weekli', 'digest', 'daili', '']"
258,"RT @Cav25thsqd: ""ในช่วงทำงานที่บ้านใช้ข้อดีของเทคโนโลยีเข้ามาช่วยให้เป็นประโยชน์ ติดต่อสื่อสารกับผู้ร่วมงานผ่านทางออนไลน์เพื่อได้พูดคุย ประ…",                                                                                                                             ,0.0,0.0,neutral,0.0,0.0,0.0,0.0,125,0,                                                                                                                             ,"['', '']","['', '']","['', '']"
259,"RT @Smartcomindo: Your IT Solution Partner

#smartcomputerindo #b2g #ecatalogue #makingindonesia40 #teknologi #teknologibaru #digitalindone…", your it solution partner   smartcomputerindo  b2g  ecatalogue  makingindonesia40  teknologi  teknologibaru  digitalindone ,0.0,0.0,positive,0.0,0.813,0.187,0.3182,123,11, your it solution partner   smartcomputerindo  bg  ecatalogue  makingindonesia  teknologi  teknologibaru  digitalindone ,"['', 'your', 'it', 'solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', 'digitalindone', '']","['', 'solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', 'digitalindone', '']","['', 'solut', 'partner', 'smartcomputerindo', 'bg', 'ecatalogu', 'makingindonesia', 'teknolog', 'teknologibaru', 'digitalindon', '']"
260,12 Critical eBooks That are The Keys to Success When Working As a #Freelancer to Rebuild Your Finances Post CV19 Pa… https://t.co/aMA2fPB7XW,12 critical ebooks that are the keys to success when working as a  freelancer to rebuild your finances post cv19 pa   ,0.15,0.4,positive,0.092,0.677,0.231,0.5423,118,21, critical ebooks that are the keys to success when working as a  freelancer to rebuild your finances post cv pa   ,"['', 'critical', 'ebooks', 'that', 'are', 'the', 'keys', 'to', 'success', 'when', 'working', 'as', 'a', 'freelancer', 'to', 'rebuild', 'your', 'finances', 'post', 'cv', 'pa', '']","['', 'critical', 'ebooks', 'keys', 'success', 'working', 'freelancer', 'rebuild', 'finances', 'post', 'cv', 'pa', '']","['', 'critic', 'ebook', 'key', 'success', 'work', 'freelanc', 'rebuild', 'financ', 'post', 'cv', 'pa', '']"
261,"Transcribe Me Review. Are They Scam?

#affiliatemarketing #workfromhome #onlinemarketing #blog #motivation… https://t.co/BHypKsvVDu",transcribe me review  are they scam    affiliatemarketing  workfromhome  onlinemarketing  blog  motivation   ,0.0,0.0,negative,0.245,0.596,0.159,-0.3182,109,11,transcribe me review  are they scam    affiliatemarketing  workfromhome  onlinemarketing  blog  motivation   ,"['transcribe', 'me', 'review', 'are', 'they', 'scam', 'affiliatemarketing', 'workfromhome', 'onlinemarketing', 'blog', 'motivation', '']","['transcribe', 'review', 'scam', 'affiliatemarketing', 'workfromhome', 'onlinemarketing', 'blog', 'motivation', '']","['transcrib', 'review', 'scam', 'affiliatemarket', 'workfromhom', 'onlinemarket', 'blog', 'motiv', '']"
263,Time Management is a huge challenge for home business owners.  Crush this challenge with this Time Management Plann… https://t.co/lWUUctTBle,time management is a huge challenge for home business owners   crush this challenge with this time management plann   ,0.4000000000000001,0.9,positive,0.082,0.667,0.251,0.3182,118,18,time management is a huge challenge for home business owners   crush this challenge with this time management plann   ,"['time', 'management', 'is', 'a', 'huge', 'challenge', 'for', 'home', 'business', 'owners', 'crush', 'this', 'challenge', 'with', 'this', 'time', 'management', 'plann', '']","['time', 'management', 'huge', 'challenge', 'home', 'business', 'owners', 'crush', 'challenge', 'time', 'management', 'plann', '']","['time', 'manag', 'huge', 'challeng', 'home', 'busi', 'owner', 'crush', 'challeng', 'time', 'manag', 'plann', '']"
264,"Hire a Virtual Assistant today and increase Efficiency by Outsourcing Non-Core Tasks

For more details click the be… https://t.co/4WjYo9K4LN",hire a virtual assistant today and increase efficiency by outsourcing non core tasks  for more details click the be   ,0.5,0.5,positive,0.0,0.769,0.231,0.5859,118,19,hire a virtual assistant today and increase efficiency by outsourcing non core tasks  for more details click the be   ,"['hire', 'a', 'virtual', 'assistant', 'today', 'and', 'increase', 'efficiency', 'by', 'outsourcing', 'non', 'core', 'tasks', 'for', 'more', 'details', 'click', 'the', 'be', '']","['hire', 'virtual', 'assistant', 'today', 'increase', 'efficiency', 'outsourcing', 'non', 'core', 'tasks', 'details', 'click', '']","['hire', 'virtual', 'assist', 'today', 'increas', 'effici', 'outsourc', 'non', 'core', 'task', 'detail', 'click', '']"
266,"Designed by @bond_architecture, a sophisticated #meeting room defined by detailed and bold black lines.… https://t.co/MCLiRemw8B",designed by   architecture  a sophisticated  meeting room defined by detailed and bold black lines    ,0.26666666666666666,0.7124999999999999,positive,0.0,0.64,0.36,0.7351,102,14,designed by   architecture  a sophisticated  meeting room defined by detailed and bold black lines    ,"['designed', 'by', 'architecture', 'a', 'sophisticated', 'meeting', 'room', 'defined', 'by', 'detailed', 'and', 'bold', 'black', 'lines', '']","['designed', 'architecture', 'sophisticated', 'meeting', 'room', 'defined', 'detailed', 'bold', 'black', 'lines', '']","['design', 'architectur', 'sophist', 'meet', 'room', 'defin', 'detail', 'bold', 'black', 'line', '']"
267,"Personal Lines Insurance Sales &amp; Service Representative at USAA 

It is a full-time position with a salary of $37,0… https://t.co/3IY9m3nDqw",personal lines insurance sales  amp  service representative at usaa   it is a full time position with a salary of  37 0   ,0.175,0.42500000000000004,neutral,0.0,1.0,0.0,0.0,122,21,personal lines insurance sales  amp  service representative at usaa   it is a full time position with a salary of      ,"['personal', 'lines', 'insurance', 'sales', 'amp', 'service', 'representative', 'at', 'usaa', 'it', 'is', 'a', 'full', 'time', 'position', 'with', 'a', 'salary', 'of', '']","['personal', 'lines', 'insurance', 'sales', 'amp', 'service', 'representative', 'usaa', 'full', 'time', 'position', 'salary', '']","['person', 'line', 'insur', 'sale', 'amp', 'servic', 'repres', 'usaa', 'full', 'time', 'posit', 'salari', '']"
268,"@speakonpodcasts is looking to hire a full-time Digital Project Manager for our Podcast Guest Booking service.

Rea… https://t.co/yWfwAk3aPs",  is looking to hire a full time digital project manager for our podcast guest booking service   rea   ,0.175,0.275,neutral,0.0,1.0,0.0,0.0,103,17,  is looking to hire a full time digital project manager for our podcast guest booking service   rea   ,"['', 'is', 'looking', 'to', 'hire', 'a', 'full', 'time', 'digital', 'project', 'manager', 'for', 'our', 'podcast', 'guest', 'booking', 'service', 'rea', '']","['', 'looking', 'hire', 'full', 'time', 'digital', 'project', 'manager', 'podcast', 'guest', 'booking', 'service', 'rea', '']","['', 'look', 'hire', 'full', 'time', 'digit', 'project', 'manag', 'podcast', 'guest', 'book', 'servic', 'rea', '']"
269,"Online Summer Camp Leader (Independent Contractor Role) https://t.co/J4u2rowxCT 
Thank you for your interest in bec… https://t.co/fpSHU8K28y",online summer camp leader  independent contractor role     thank you for your interest in bec   ,0.0,0.125,positive,0.0,0.686,0.314,0.6705,96,14,online summer camp leader  independent contractor role     thank you for your interest in bec   ,"['online', 'summer', 'camp', 'leader', 'independent', 'contractor', 'role', 'thank', 'you', 'for', 'your', 'interest', 'in', 'bec', '']","['online', 'summer', 'camp', 'leader', 'independent', 'contractor', 'role', 'thank', 'interest', 'bec', '']","['onlin', 'summer', 'camp', 'leader', 'independ', 'contractor', 'role', 'thank', 'interest', 'bec', '']"
270,"Client experience has to be a huge priority for us.

#workfromhome #workfromhomelife #smallbusinesshelp… https://t.co/9X1HHLwqP4",client experience has to be a huge priority for us    workfromhome  workfromhomelife  smallbusinesshelp   ,0.4000000000000001,0.9,positive,0.0,0.827,0.173,0.3182,106,13,client experience has to be a huge priority for us    workfromhome  workfromhomelife  smallbusinesshelp   ,"['client', 'experience', 'has', 'to', 'be', 'a', 'huge', 'priority', 'for', 'us', 'workfromhome', 'workfromhomelife', 'smallbusinesshelp', '']","['client', 'experience', 'huge', 'priority', 'us', 'workfromhome', 'workfromhomelife', 'smallbusinesshelp', '']","['client', 'experi', 'huge', 'prioriti', 'us', 'workfromhom', 'workfromhomelif', 'smallbusinesshelp', '']"
271,Let Zones and @VMware optimize the #WorkFromHome experience for your #remote team. Read our #eBook to learn how:… https://t.co/FBZ8oNORY3,let zones and   optimize the  workfromhome experience for your  remote team  read our  ebook to learn how    ,-0.1,0.2,positive,0.0,0.833,0.167,0.4939,109,17,let zones and   optimize the  workfromhome experience for your  remote team  read our  ebook to learn how    ,"['let', 'zones', 'and', 'optimize', 'the', 'workfromhome', 'experience', 'for', 'your', 'remote', 'team', 'read', 'our', 'ebook', 'to', 'learn', 'how', '']","['let', 'zones', 'optimize', 'workfromhome', 'experience', 'remote', 'team', 'read', 'ebook', 'learn', '']","['let', 'zone', 'optim', 'workfromhom', 'experi', 'remot', 'team', 'read', 'ebook', 'learn', '']"
272,"RT @Heliware2: Dedicated to all our Corona Warriors- Medical Staff, Sanitation Workers, Police Officers, Delivery People and everyone who a…", dedicated to all our corona warriors  medical staff  sanitation workers  police officers  delivery people and everyone who a ,0.0,0.0,positive,0.0,0.842,0.158,0.4588,126,18, dedicated to all our corona warriors  medical staff  sanitation workers  police officers  delivery people and everyone who a ,"['', 'dedicated', 'to', 'all', 'our', 'corona', 'warriors', 'medical', 'staff', 'sanitation', 'workers', 'police', 'officers', 'delivery', 'people', 'and', 'everyone', 'who', 'a', '']","['', 'dedicated', 'corona', 'warriors', 'medical', 'staff', 'sanitation', 'workers', 'police', 'officers', 'delivery', 'people', 'everyone', '']","['', 'dedic', 'corona', 'warrior', 'medic', 'staff', 'sanit', 'worker', 'polic', 'offic', 'deliveri', 'peopl', 'everyon', '']"
273,"#WorkFromHome life:

@dominos_india lady: Ma'am did you enjoy the pizza you ordered from Swiggy?
Me: I haven't eate… https://t.co/D3WwqDnVvo", workfromhome life     india lady  ma am did you enjoy the pizza you ordered from swiggy  me  i haven t eate   ,0.4,0.5,positive,0.0,0.842,0.158,0.4939,111,20, workfromhome life     india lady  ma am did you enjoy the pizza you ordered from swiggy  me  i haven t eate   ,"['', 'workfromhome', 'life', 'india', 'lady', 'ma', 'am', 'did', 'you', 'enjoy', 'the', 'pizza', 'you', 'ordered', 'from', 'swiggy', 'me', 'i', 'haven', 't', 'eate', '']","['', 'workfromhome', 'life', 'india', 'lady', 'enjoy', 'pizza', 'ordered', 'swiggy', 'eate', '']","['', 'workfromhom', 'life', 'india', 'ladi', 'enjoy', 'pizza', 'order', 'swiggi', 'eat', '']"
274,"RT @3artilleryregi2: WFH (Work From Home) คำแนะนำสำหรับการทำงานที่บ้านลดความเสี่ยงในการติดเชื้อโควิด-19
.
.
ที่มา : โรงเรียนจิตอาสาพระราชทา…", wfh  work from home                                                             19                                     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,5, wfh  work from home                                                                                                  ,"['', 'wfh', 'work', 'from', 'home', '']","['', 'wfh', 'work', 'home', '']","['', 'wfh', 'work', 'home', '']"
275,"Start An Online Business In 2021 And Gain Your Freedom. 
Don't know where to start? Not sure which model to adopt?… https://t.co/FwwpZ9B6PN",start an online business in 2021 and gain your freedom   don t know where to start  not sure which model to adopt    ,-0.25,0.8888888888888888,positive,0.069,0.602,0.329,0.8094,117,22,start an online business in  and gain your freedom   don t know where to start  not sure which model to adopt    ,"['start', 'an', 'online', 'business', 'in', 'and', 'gain', 'your', 'freedom', 'don', 't', 'know', 'where', 'to', 'start', 'not', 'sure', 'which', 'model', 'to', 'adopt', '']","['start', 'online', 'business', 'gain', 'freedom', 'know', 'start', 'sure', 'model', 'adopt', '']","['start', 'onlin', 'busi', 'gain', 'freedom', 'know', 'start', 'sure', 'model', 'adopt', '']"
276,"RT @Airtel_Ug: Working from home? Keep a steady workflow with these Airtel 4G Home Internet Devices;
The 4G Pocket WiFi, 4G SmartBox and th…", working from home  keep a steady workflow with these airtel 4g home internet devices  the 4g pocket wifi  4g smartbox and th ,0.16666666666666666,0.5,neutral,0.0,1.0,0.0,0.0,126,22, working from home  keep a steady workflow with these airtel g home internet devices  the g pocket wifi  g smartbox and th ,"['', 'working', 'from', 'home', 'keep', 'a', 'steady', 'workflow', 'with', 'these', 'airtel', 'g', 'home', 'internet', 'devices', 'the', 'g', 'pocket', 'wifi', 'g', 'smartbox', 'and', 'th', '']","['', 'working', 'home', 'keep', 'steady', 'workflow', 'airtel', 'g', 'home', 'internet', 'devices', 'g', 'pocket', 'wifi', 'g', 'smartbox', 'th', '']","['', 'work', 'home', 'keep', 'steadi', 'workflow', 'airtel', 'g', 'home', 'internet', 'devic', 'g', 'pocket', 'wifi', 'g', 'smartbox', 'th', '']"
277,"Flip Domains for HUGE Profit!!
PR Rage Demo Review Discount Coupon OTO’s &amp; Best Bonuses https://t.co/lO1Kv4joHh… https://t.co/q5gou5ym67",flip domains for huge profit   pr rage demo review discount coupon oto s  amp  best bonuses    ,0.7000000000000001,0.6,positive,0.135,0.376,0.489,0.8555,95,16,flip domains for huge profit   pr rage demo review discount coupon oto s  amp  best bonuses    ,"['flip', 'domains', 'for', 'huge', 'profit', 'pr', 'rage', 'demo', 'review', 'discount', 'coupon', 'oto', 's', 'amp', 'best', 'bonuses', '']","['flip', 'domains', 'huge', 'profit', 'pr', 'rage', 'demo', 'review', 'discount', 'coupon', 'oto', 'amp', 'best', 'bonuses', '']","['flip', 'domain', 'huge', 'profit', 'pr', 'rage', 'demo', 'review', 'discount', 'coupon', 'oto', 'amp', 'best', 'bonus', '']"
278,"Penuhi varian kebutuhan teknologimu dengan mengunjungi https://t.co/GCz5znGOwZ 

Your IT Solution Partner… https://t.co/cZwfSCFOIK",penuhi varian kebutuhan teknologimu dengan mengunjungi     your it solution partner   ,0.0,0.0,positive,0.0,0.796,0.204,0.3182,86,10,penuhi varian kebutuhan teknologimu dengan mengunjungi     your it solution partner   ,"['penuhi', 'varian', 'kebutuhan', 'teknologimu', 'dengan', 'mengunjungi', 'your', 'it', 'solution', 'partner', '']","['penuhi', 'varian', 'kebutuhan', 'teknologimu', 'dengan', 'mengunjungi', 'solution', 'partner', '']","['penuhi', 'varian', 'kebutuhan', 'teknologimu', 'dengan', 'mengunjungi', 'solut', 'partner', '']"
280,"RT @matthias_feist: Read part 1 of my thoughts about what societal changes we need to make to widen access to #RemoteWork, and to make it a…", read part 1 of my thoughts about what societal changes we need to make to widen access to  remotework  and to make it a ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,121,24, read part  of my thoughts about what societal changes we need to make to widen access to  remotework  and to make it a ,"['', 'read', 'part', 'of', 'my', 'thoughts', 'about', 'what', 'societal', 'changes', 'we', 'need', 'to', 'make', 'to', 'widen', 'access', 'to', 'remotework', 'and', 'to', 'make', 'it', 'a', '']","['', 'read', 'part', 'thoughts', 'societal', 'changes', 'need', 'make', 'widen', 'access', 'remotework', 'make', '']","['', 'read', 'part', 'thought', 'societ', 'chang', 'need', 'make', 'widen', 'access', 'remotework', 'make', '']"
281,Daily Motivation: Running from one activity to the next activity is a very good way of staying focused. It definite… https://t.co/jp3TNOFR4r,daily motivation  running from one activity to the next activity is a very good way of staying focused  it definite   ,0.22749999999999998,0.32000000000000006,positive,0.0,0.593,0.407,0.8516,118,20,daily motivation  running from one activity to the next activity is a very good way of staying focused  it definite   ,"['daily', 'motivation', 'running', 'from', 'one', 'activity', 'to', 'the', 'next', 'activity', 'is', 'a', 'very', 'good', 'way', 'of', 'staying', 'focused', 'it', 'definite', '']","['daily', 'motivation', 'running', 'one', 'activity', 'next', 'activity', 'good', 'way', 'staying', 'focused', 'definite', '']","['daili', 'motiv', 'run', 'one', 'activ', 'next', 'activ', 'good', 'way', 'stay', 'focus', 'definit', '']"
282,"Your IT Solution Partner

#smartcomputerindo #b2g #ecatalogue #makingindonesia40 #teknologi #teknologibaru… https://t.co/1mRoDQQBon",your it solution partner   smartcomputerindo  b2g  ecatalogue  makingindonesia40  teknologi  teknologibaru   ,0.0,0.0,positive,0.0,0.796,0.204,0.3182,109,10,your it solution partner   smartcomputerindo  bg  ecatalogue  makingindonesia  teknologi  teknologibaru   ,"['your', 'it', 'solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', '']","['solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', '']","['solut', 'partner', 'smartcomputerindo', 'bg', 'ecatalogu', 'makingindonesia', 'teknolog', 'teknologibaru', '']"
283,"RT @MoneyUnder30: Since the #pandemic, more and more people are opting to #workfromhome after enjoying all of the benefits of working from…", since the  pandemic  more and more people are opting to  workfromhome after enjoying all of the benefits of working from ,0.5,0.5333333333333333,positive,0.0,0.75,0.25,0.7184,122,20, since the  pandemic  more and more people are opting to  workfromhome after enjoying all of the benefits of working from ,"['', 'since', 'the', 'pandemic', 'more', 'and', 'more', 'people', 'are', 'opting', 'to', 'workfromhome', 'after', 'enjoying', 'all', 'of', 'the', 'benefits', 'of', 'working', 'from', '']","['', 'since', 'pandemic', 'people', 'opting', 'workfromhome', 'enjoying', 'benefits', 'working', '']","['', 'sinc', 'pandem', 'peopl', 'opt', 'workfromhom', 'enjoy', 'benefit', 'work', '']"
285,"Remote workers, this one’s for you. You may opt to keep a low profile when you’re #WFH. However, it’s better to inc… https://t.co/k4D6y4nn62",remote workers  this one s for you  you may opt to keep a low profile when you re  wfh  however  it s better to inc   ,0.13333333333333333,0.3333333333333333,positive,0.084,0.8,0.116,0.2023,118,25,remote workers  this one s for you  you may opt to keep a low profile when you re  wfh  however  it s better to inc   ,"['remote', 'workers', 'this', 'one', 's', 'for', 'you', 'you', 'may', 'opt', 'to', 'keep', 'a', 'low', 'profile', 'when', 'you', 're', 'wfh', 'however', 'it', 's', 'better', 'to', 'inc', '']","['remote', 'workers', 'one', 'may', 'opt', 'keep', 'low', 'profile', 'wfh', 'however', 'better', 'inc', '']","['remot', 'worker', 'one', 'may', 'opt', 'keep', 'low', 'profil', 'wfh', 'howev', 'better', 'inc', '']"
286,Woke up earlier deciding to conquer the day. Washed and exfoliated my face to feel human. Now onto this financial b… https://t.co/IkhNprAPRr,woke up earlier deciding to conquer the day  washed and exfoliated my face to feel human  now onto this financial b   ,0.0,0.19999999999999998,neutral,0.0,1.0,0.0,0.0,118,21,woke up earlier deciding to conquer the day  washed and exfoliated my face to feel human  now onto this financial b   ,"['woke', 'up', 'earlier', 'deciding', 'to', 'conquer', 'the', 'day', 'washed', 'and', 'exfoliated', 'my', 'face', 'to', 'feel', 'human', 'now', 'onto', 'this', 'financial', 'b', '']","['woke', 'earlier', 'deciding', 'conquer', 'day', 'washed', 'exfoliated', 'face', 'feel', 'human', 'onto', 'financial', 'b', '']","['woke', 'earlier', 'decid', 'conquer', 'day', 'wash', 'exfoli', 'face', 'feel', 'human', 'onto', 'financi', 'b', '']"
287,Have kids? Give them the promise of a secure financial future through life insurance that can change as your family… https://t.co/TAISwOJxiR,have kids  give them the promise of a secure financial future through life insurance that can change as your family   ,0.13333333333333333,0.24166666666666667,positive,0.0,0.783,0.217,0.5719,118,20,have kids  give them the promise of a secure financial future through life insurance that can change as your family   ,"['have', 'kids', 'give', 'them', 'the', 'promise', 'of', 'a', 'secure', 'financial', 'future', 'through', 'life', 'insurance', 'that', 'can', 'change', 'as', 'your', 'family', '']","['kids', 'give', 'promise', 'secure', 'financial', 'future', 'life', 'insurance', 'change', 'family', '']","['kid', 'give', 'promis', 'secur', 'financi', 'futur', 'life', 'insur', 'chang', 'famili', '']"
288,#teknologibaru #digitalindonesia #infoviral #workfromhome #stayathome #indiehome #kerjadaring #magangdaring… https://t.co/KMgiL0N8Wa, teknologibaru  digitalindonesia  infoviral  workfromhome  stayathome  indiehome  kerjadaring  magangdaring   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,110,8, teknologibaru  digitalindonesia  infoviral  workfromhome  stayathome  indiehome  kerjadaring  magangdaring   ,"['', 'teknologibaru', 'digitalindonesia', 'infoviral', 'workfromhome', 'stayathome', 'indiehome', 'kerjadaring', 'magangdaring', '']","['', 'teknologibaru', 'digitalindonesia', 'infoviral', 'workfromhome', 'stayathome', 'indiehome', 'kerjadaring', 'magangdaring', '']","['', 'teknologibaru', 'digitalindonesia', 'infovir', 'workfromhom', 'stayathom', 'indiehom', 'kerjadar', 'magangdar', '']"
289,Anyone else feel like this working from home right now...🥵😆 #heatwaveuk #Heat #HeatWave2021 #WorkFromHome https://t.co/WUQjYyfgDI,anyone else feel like this working from home right now       heatwaveuk  heat  heatwave2021  workfromhome  ,0.2857142857142857,0.5357142857142857,positive,0.0,0.839,0.161,0.3612,107,14,anyone else feel like this working from home right now       heatwaveuk  heat  heatwave  workfromhome  ,"['anyone', 'else', 'feel', 'like', 'this', 'working', 'from', 'home', 'right', 'now', 'heatwaveuk', 'heat', 'heatwave', 'workfromhome', '']","['anyone', 'else', 'feel', 'like', 'working', 'home', 'right', 'heatwaveuk', 'heat', 'heatwave', 'workfromhome', '']","['anyon', 'els', 'feel', 'like', 'work', 'home', 'right', 'heatwaveuk', 'heat', 'heatwav', 'workfromhom', '']"
290,"Interruptores BROADLINK 💡
Encendé las luces desde la APP 📲

Link ⬇️
https://t.co/BQLklQwnDZ

#Tecnologia #domotica… https://t.co/DI1uabFsF1",interruptores broadlink   encend  las luces desde la app    link        tecnologia  domotica   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,95,11,interruptores broadlink   encend  las luces desde la app    link        tecnologia  domotica   ,"['interruptores', 'broadlink', 'encend', 'las', 'luces', 'desde', 'la', 'app', 'link', 'tecnologia', 'domotica', '']","['interruptores', 'broadlink', 'encend', 'las', 'luces', 'desde', 'la', 'app', 'link', 'tecnologia', 'domotica', '']","['interruptor', 'broadlink', 'encend', 'la', 'luce', 'desd', 'la', 'app', 'link', 'tecnologia', 'domotica', '']"
292,"#WorkplaceCulture
#productivity #workplacejazz #hr #highperformingteams #business #marketing #workfromhome… https://t.co/PdW2GCmRuO", workplaceculture  productivity  workplacejazz  hr  highperformingteams  business  marketing  workfromhome   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,109,8, workplaceculture  productivity  workplacejazz  hr  highperformingteams  business  marketing  workfromhome   ,"['', 'workplaceculture', 'productivity', 'workplacejazz', 'hr', 'highperformingteams', 'business', 'marketing', 'workfromhome', '']","['', 'workplaceculture', 'productivity', 'workplacejazz', 'hr', 'highperformingteams', 'business', 'marketing', 'workfromhome', '']","['', 'workplacecultur', 'product', 'workplacejazz', 'hr', 'highperformingteam', 'busi', 'market', 'workfromhom', '']"
293,RT @Ladybirdlane1: @YourBizHour We’ve been busy making Retro Telephone Lamps in new colour combinations. Taking pics in a hot conservatory…,   we ve been busy making retro telephone lamps in new colour combinations  taking pics in a hot conservatory ,0.1621212121212121,0.5348484848484848,neutral,0.0,1.0,0.0,0.0,110,18,   we ve been busy making retro telephone lamps in new colour combinations  taking pics in a hot conservatory ,"['', 'we', 've', 'been', 'busy', 'making', 'retro', 'telephone', 'lamps', 'in', 'new', 'colour', 'combinations', 'taking', 'pics', 'in', 'a', 'hot', 'conservatory', '']","['', 'busy', 'making', 'retro', 'telephone', 'lamps', 'new', 'colour', 'combinations', 'taking', 'pics', 'hot', 'conservatory', '']","['', 'busi', 'make', 'retro', 'telephon', 'lamp', 'new', 'colour', 'combin', 'take', 'pic', 'hot', 'conservatori', '']"
294,"Your IT Solution Partner

#smartcomputerindo #b2g #ecatalogue #makingindonesia40 #teknologi #teknologibaru… https://t.co/GN3IMbWnBr",your it solution partner   smartcomputerindo  b2g  ecatalogue  makingindonesia40  teknologi  teknologibaru   ,0.0,0.0,positive,0.0,0.796,0.204,0.3182,109,10,your it solution partner   smartcomputerindo  bg  ecatalogue  makingindonesia  teknologi  teknologibaru   ,"['your', 'it', 'solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', '']","['solution', 'partner', 'smartcomputerindo', 'bg', 'ecatalogue', 'makingindonesia', 'teknologi', 'teknologibaru', '']","['solut', 'partner', 'smartcomputerindo', 'bg', 'ecatalogu', 'makingindonesia', 'teknolog', 'teknologibaru', '']"
295,โหลๆ รับสมัครพนักงานทำออนไลน์ คับ ไม่เกม ไม่พนัน ไม่โซ่ ทุกเพศ 18ปีบริบูรณ์ขึ้นไป💪🏻😶‍🌫️ คลิก… https://t.co/Lo0xJXtZWp,                                                               18                              ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,95,1,                                                                                             ,"['', '']","['', '']","['', '']"
296,"work from home करते-करते पीठ-कमर दर्द से परेशान हैं आप तो अपनाएं ये टिप्स, दर्द से मिलेगा निजात 
#Paininback… https://t.co/JqeTsYDffp",work from home                                                                                    paininback   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,111,4,work from home                                                                                    paininback   ,"['work', 'from', 'home', 'paininback', '']","['work', 'home', 'paininback', '']","['work', 'home', 'paininback', '']"
